power_consumption , energy loaded , 19656 ;
power_consumption , energy loaded , 22032 ;
power_consumption , energy loaded , 22464 ;
power_consumption , energy loaded , 23976 ;
power_consumption , energy loaded , 25920 ;
power_consumption , energy loaded , 26136 ;
power_consumption , energy loaded , 26136 ;
power_consumption , energy loaded , 26258 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 28296 ;
power_consumption , energy loaded , 28518 ;
power_consumption , energy loaded , 28728 ;
power_consumption , energy loaded , 17718 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 22363 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 25224 ;
power_consumption , energy loaded , 24509 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 25514 ;
power_consumption , energy loaded , 26109 ;
power_consumption , energy loaded , 27952 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 28974 ;
power_consumption , energy loaded , 23397 ;
power_consumption , energy loaded , 25112 ;
power_consumption , energy loaded , 27415 ;
power_consumption , energy loaded , 28193 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 19878 ;
power_consumption , energy loaded , 23311 ;
power_consumption , energy loaded , 27276 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 26880 ;
power_consumption , energy loaded , 21606 ;
power_consumption , energy loaded , 23473 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 26112 ;
power_consumption , energy loaded , 25800 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 23920 ;
power_consumption , energy loaded , 27015 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 23106 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 18677 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 28243 ;
power_consumption , energy loaded , 28297 ;
power_consumption , energy loaded , 25593 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 28159 ;
power_consumption , energy loaded , 27702 ;
power_consumption , energy loaded , 28650 ;
power_consumption , energy loaded , 28314 ;
power_consumption , energy loaded , 23233 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27222 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 29022 ;
power_consumption , energy loaded , 18973 ;
power_consumption , energy loaded , 25361 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 21088 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 25931 ;
power_consumption , energy loaded , 26358 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 28383 ;
power_consumption , energy loaded , 27549 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 27458 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 22991 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 28159 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 25687 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27926 ;
power_consumption , energy loaded , 27508 ;
power_consumption , energy loaded , 26012 ;
power_consumption , energy loaded , 26109 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27821 ;
power_consumption , energy loaded , 22465 ;
power_consumption , energy loaded , 22593 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 24277 ;
power_consumption , energy loaded , 22047 ;
power_consumption , energy loaded , 24630 ;
power_consumption , energy loaded , 27633 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 26764 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 26358 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28512 ;
power_consumption , energy loaded , 28674 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28456 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 27100 ;
power_consumption , energy loaded , 25807 ;
power_consumption , energy loaded , 28804 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 22029 ;
power_consumption , energy loaded , 25418 ;
power_consumption , energy loaded , 25975 ;
power_consumption , energy loaded , 19749 ;
power_consumption , energy loaded , 23405 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 28976 ;
power_consumption , energy loaded , 28128 ;
power_consumption , energy loaded , 21220 ;
power_consumption , energy loaded , 24142 ;
power_consumption , energy loaded , 27477 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 25945 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 24630 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 24807 ;
power_consumption , energy loaded , 23196 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28159 ;
power_consumption , energy loaded , 25575 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 24854 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 20545 ;
power_consumption , energy loaded , 26067 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 28889 ;
power_consumption , energy loaded , 25290 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 27559 ;
power_consumption , energy loaded , 24285 ;
power_consumption , energy loaded , 27548 ;
power_consumption , energy loaded , 22155 ;
power_consumption , energy loaded , 28159 ;
power_consumption , energy loaded , 27304 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 28726 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 28673 ;
