power_consumption , energy loaded , 22032 ;
power_consumption , energy loaded , 23115 ;
power_consumption , energy loaded , 23550 ;
power_consumption , energy loaded , 26784 ;
power_consumption , energy loaded , 28512 ;
power_consumption , energy loaded , 28512 ;
power_consumption , energy loaded , 28512 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28299 ;
power_consumption , energy loaded , 26647 ;
power_consumption , energy loaded , 25251 ;
power_consumption , energy loaded , 25278 ;
power_consumption , energy loaded , 24630 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 28328 ;
power_consumption , energy loaded , 26961 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 26713 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 23112 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27532 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 28628 ;
power_consumption , energy loaded , 27538 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 20438 ;
power_consumption , energy loaded , 25657 ;
power_consumption , energy loaded , 27599 ;
power_consumption , energy loaded , 25116 ;
power_consumption , energy loaded , 19058 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 25212 ;
power_consumption , energy loaded , 28150 ;
power_consumption , energy loaded , 26053 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 27936 ;
power_consumption , energy loaded , 28159 ;
power_consumption , energy loaded , 26839 ;
power_consumption , energy loaded , 28237 ;
power_consumption , energy loaded , 28518 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 28995 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 26945 ;
power_consumption , energy loaded , 22631 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 27063 ;
power_consumption , energy loaded , 28579 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 22787 ;
power_consumption , energy loaded , 25470 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 26781 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 21982 ;
power_consumption , energy loaded , 20378 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 27580 ;
power_consumption , energy loaded , 26130 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 26311 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 27216 ;
power_consumption , energy loaded , 26380 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 25207 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 26331 ;
power_consumption , energy loaded , 24508 ;
power_consumption , energy loaded , 26919 ;
power_consumption , energy loaded , 28249 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 26694 ;
power_consumption , energy loaded , 26653 ;
power_consumption , energy loaded , 26611 ;
power_consumption , energy loaded , 19071 ;
power_consumption , energy loaded , 26297 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 26297 ;
power_consumption , energy loaded , 26191 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 26431 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 26945 ;
power_consumption , energy loaded , 26705 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 25733 ;
power_consumption , energy loaded , 28690 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 27210 ;
power_consumption , energy loaded , 28754 ;
power_consumption , energy loaded , 19300 ;
power_consumption , energy loaded , 26106 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 26586 ;
power_consumption , energy loaded , 28405 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 26002 ;
power_consumption , energy loaded , 26729 ;
