power_consumption , energy loaded , 27385 ;
power_consumption , energy loaded , 27175 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28889 ;
power_consumption , energy loaded , 27907 ;
power_consumption , energy loaded , 29239 ;
power_consumption , energy loaded , 25237 ;
power_consumption , energy loaded , 21235 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 28889 ;
power_consumption , energy loaded , 28889 ;
power_consumption , energy loaded , 26953 ;
power_consumption , energy loaded , 27048 ;
power_consumption , energy loaded , 25815 ;
power_consumption , energy loaded , 28121 ;
power_consumption , energy loaded , 28796 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 29239 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28889 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 25098 ;
power_consumption , energy loaded , 23927 ;
power_consumption , energy loaded , 29239 ;
power_consumption , energy loaded , 27448 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 28397 ;
power_consumption , energy loaded , 28850 ;
power_consumption , energy loaded , 27430 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 29239 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 26766 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 26564 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 25812 ;
power_consumption , energy loaded , 21659 ;
power_consumption , energy loaded , 25379 ;
power_consumption , energy loaded , 28663 ;
power_consumption , energy loaded , 27248 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27070 ;
power_consumption , energy loaded , 26009 ;
power_consumption , energy loaded , 26142 ;
power_consumption , energy loaded , 23866 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 26954 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 26087 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 26216 ;
power_consumption , energy loaded , 26965 ;
power_consumption , energy loaded , 26568 ;
power_consumption , energy loaded , 27575 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 29239 ;
power_consumption , energy loaded , 28025 ;
power_consumption , energy loaded , 24331 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 27390 ;
power_consumption , energy loaded , 24523 ;
power_consumption , energy loaded , 25968 ;
power_consumption , energy loaded , 26514 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 26550 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 24300 ;
power_consumption , energy loaded , 27593 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 26275 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 25788 ;
power_consumption , energy loaded , 25444 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 23167 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 25988 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 25084 ;
power_consumption , energy loaded , 28159 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 26286 ;
power_consumption , energy loaded , 22762 ;
power_consumption , energy loaded , 27456 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 24348 ;
power_consumption , energy loaded , 27943 ;
power_consumption , energy loaded , 21464 ;
